Part,QTY,Manufacturer,Part Ref (manufacturer),Package,Descritpion,Supplier,old name,Link
,,,,,,,,
L1,1,COILCRAFT,0402DC-7N5XGRW,0402_N,INDUCTOR 7.5nH High Q at 2.4GHz (for Wifi antenna),digikey,,https://www.digikey.com/en/products/detail/coilcraft/0402DC-7N5XGRW/12714785?s=N4IgTCBcDaIAwBY5gCYGMC0B2AdgVgA8BzAJwHcQBdAXyA
L2,1,Vishay-Dale,IHLP1212AEERR47M11,,INDUCTOR 470nH  DCR: 15 mΩ  IDC: 6.7 A  ,digikey,,https://www.digikey.com/en/products/detail/vishay-dale/IHLP1212AEERR47M11/2533925?s=N4IgTCBcDaIJIAkAyAFAjGDBBAojgSvgCwDsAsmmiALoC%2BQA
,,,,,,,,
T1,1,Nexperia ,"PDTA143TMB,315",SOT883(B),PNP general purpose transistors,Mouser,"PDTA143TMB,315",https://www.mouser.com/ProductDetail/Nexperia/PDTA143TMB315?qs=%2Fha2pyFaduhNWQRJlSbbvEl02AtP8mQEnQFKjHQLqLVfp4NNK74MOQ%3D%3D
T2,1,ON Semiconductor,NTNS3A65PZT5G,SOT883,MOSFET P-CH 20V 281MA ,digikey,,https://www.digikey.com/en/products/detail/on-semiconductor/NTNS3A65PZT5G/4848843?s=N4IgTCBcDaIHIBU4GUDMBBAbAVgAoC0FsBxEAXQF8g
T3,1,ON SEMICONDUCTOR,MUN5214DW1T1G,SOT-363 ,DUAL NPN transistor SC70-6,newark,Q3,https://www.newark.com/on-semiconductor/mun5214dw1t1g/brt-transistor-50v-47k-10kohm/dp/10N9540
,,,,,,,,
U1,1,ON SEMICONDUCTOR,NCP167BMX330TBG,4-XDFN,LDO 700 MA ULTRA-LOW NOI,digikey,,https://www.digikey.com/en/products/detail/on-semiconductor/NCP167BMX330TBG/9169761?s=N4IgTCBcDaIHIGEAKBGAbAdgEIFkAaAzAQAwAqWA4iALoC%2BQA
U2,1,Texas Instruments,TPS61089RNRR,VQFN,"12.6-V, 7-A Fully-Integrated Synchronous Boost Converters",Texas Instrument,,https://www.ti.com/store/ti/en/p/product/?p=TPS61089RNRR
U3,1,Texas Instruments,DRV8833PWPR,16-HTSSOP,IC MOTOR DRIVER PAR 16HTSSOP,Texas Instrument,,https://www.ti.com/store/ti/en/p/product/?p=DRV8833PWPR
U4,1,SILICON LABS, CP2104-F03-GMR,24QFN,USB TO SERIAL CONVERTER MICROBUILDER,digikey,IC2,https://www.digikey.com/en/products/detail/CP2104-F03-GMR/336-4146-1-ND/7650425?itemSeq=346297763
CHRG,1,Microchip Technology,MCP73831T-2ACI/OT,SOT23-5,IC BATT CNTL LI-ION 1CEL,digikey,,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301
LSM6,1,STMicroelectronics,LSM6DSOXTR,14-VFLGA,INEMO INERTIAL MODULE: 3D ACCELE,Mouser,ISM330,https://www.mouser.com/ProductDetail/511-LSM6DSOXTR
ESP32,1,Espressif Systems ,ESP32-PICO-D4 ,QFN-48 ,ESP32-PICO-D4,Mouser,PICO-D4 ,https://www.mouser.com/ProductDetail/Espressif-Systems/ESP32-PICO-D4/?qs=MLItCLRbWsw7MJlbN3HfdA%3D%3D
TLV,1,Infineon Technologies ,TLV493DA1B6HTSA2 ,TSOP-6 ,Board Mount Hall Effect / Magnetic Sensors ,Mouser,TLV493D,https://www.mouser.com/ProductDetail/Infineon-Technologies/TLV493DA1B6HTSA2/?qs=%2Fha2pyFaduivVm%2F7PF9Ek94GCst7qjk5M1mEa1SrsTU%3D
,,,,,,,,
J1,1,Amphenol ICC (FCI),10118193-0001LF,,"USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole	",digikey,,https://www.digikey.com/en/products/detail/amphenol-icc-fci/10118193-0001LF/2785388?s=N4IgTCBcDaIIwAY5wBxwJwGYC0C9wBkAxEAXQF8g
J2,1,JST ,B6B-ZR(LF)(SN),ZR,ZR Series 1.5 mm Pitch 6 Position Through Hole Top Entry Shrouded Heade Check prices,digikey,,https://www.digikey.com/en/products/detail/amphenol-icc-fci/10118193-0001LF/2785388?s=N4IgTCBcDaIIwAY5wBxwJwGYC0C9wBkAxEAXQF8g
"J3, J4",2,JST,B2B-PH-SM4-TB(LF)(SN),PH,B2B-PH-SM4-TB,newark,"LIPO-CON-1,LIPO-CON-2",https://www.newark.com/jst-japan-solderless-terminals/b2b-ph-sm4-tb-lf-sn/wire-to-board-connector-header/dp/37K9941
,,,,,,,,
KMR2,1,C & K COMPONENTS,KMR241NG ULC LFS ,BTN_KMR2_4.6X2.8,Push button (Reset ),newark,,https://www.newark.com/c-k-components/kmr241ng-ulc-lfs/tact/dp/35AH0932?st=kmr241ng
ANT,1,Proant AB,PRO-OB-440,,RF ANT 2.4GHZ STAMPED MET SLD,digikey,,https://www.digikey.com/en/products/detail/proant-ab/PRO-OB-440/4895679?s=N4IgTCBcDaIA4CcD2BaJAjFAWLAGEAugL5A
,,,,,,,,
,,,,,,,,
,,,,,,,,
Total Items,61,,,,,,,
